CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP05358	芸薹子	芜菁子|白菜子|菘菜子|芸苔子	yun tai zi	Brassica rapa	Viridiplantae
CHP05360	芸香	白芸香|芸香子|芸香叶|三桠苦|三叉苦|臭草	yun xiang	Ruta graveolens	Viridiplantae
CHP06239	栽培菊苣	黑莴苣	zai pei ju ju	Cichorium endivia	Viridiplantae
CHP05408	樟脑	白樟油|樟脑子|樟脑油	zhang nao	Cinnamomum camphora	Viridiplantae
CHP06276	长根马兜铃		zhang gen ma dou ling	Aristolochia fontanesii	Viridiplantae
CHP06215	长角豆		zhang jiao dou	Ceratonia siliqua	Viridiplantae
CHP06201	赭石	煅赭石|代赭石	zhe shi	Hematite	Mineral
CHP06202	珍珠		zhen zhu	Pearl	Mineral
CHP06065	珍珠母		zhen zhu mu	Pinctada imbricata	Metazoa
CHP05469	榛子	欧榛|川榛子	zhen zi	Corylus avellana	Viridiplantae
CHP06251	芝麻菜子	芝麻菜子油	zhi ma cai zi	Eruca vesicaria	Viridiplantae
CHP05486	蜘蛛香		zhi zhu xiang	Valeriana jatamansi	Viridiplantae
CHP05491	指甲花	指甲花叶	zhi jia hua	Lawsonia inermis	Viridiplantae
CHP06204	朱砂		zhu sha	Cinnabar	Mineral
CHP05557	猪鬃草	铁线蕨|铁钱蕨	zhu zong cao	Adiantum capillus-veneris	Viridiplantae
CHP06351	竹鸡		zhu ji	Bambusicola thoracicus	Metazoa
CHP05607	孜然	香早芹|野孜然|香旱芹|黑孜然	zi ran	Cuminum cyminum	Viridiplantae
CHP05623	紫草	藏紫草|滇紫草|新疆紫草	zi cao	Lithospermum erythrorhizon	Viridiplantae
CHP06363	紫草茸	紫胶蚧	zi cao rong	Kerria lacca	Metazoa
CHP06205	紫硇砂	密陀僧|麦饭石	zi nao sha	Lithargyrum	Mineral
CHP05676	紫苏	尖紫苏|紫苏油|回回苏|白苏	zi su	Perilla frutescens	Viridiplantae
CHP05680	紫苏子	苏子|紫苏子油|白苏子	zi su zi	Perilla frutescens	Viridiplantae
CHP05682	紫檀	紫檀香	zi tan	Pterocarpus indicus	Viridiplantae
