CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP02685	毛诃子	毗黎勒|长喙诃子|毛诃|绒毛诃子|毛诃子皮|词子	mao he zi	Terminalia bellirica	Viridiplantae
CHP06221	没食子		mei shi zi	Quercus infectoria	Viridiplantae
CHP02748	没药	没药树|醋没药|炙没药|没药树脂|库阿没药|没药枝|制没药	mo yao	Commiphora myrrha	Viridiplantae
CHP02750	玫瑰花	玫瑰花子	mei gui hua	Rosa rugosa	Viridiplantae
CHP02751	玫瑰露	玫瑰油|玫瑰花油	mei gui lu	Rosa rugosa	Viridiplantae
CHP02756	梅花	白梅花|乌梅肉|绿萼梅|乌梅	mei hua	Prunus mume	Viridiplantae
CHP06236	蒙古栎	橡子	meng gu li	Quercus mongolica	Viridiplantae
CHP06220	蜜蜂花		mi feng hua	Melissa officinalis	Viridiplantae
CHP02815	棉花	棉花花	mian hua	Gossypium barbadense	Viridiplantae
CHP02819	棉花子		mian hua zi	Gossypium barbadense	Viridiplantae
CHP06175	明矾	白矾|白矶|黄矾|黄砒	ming fan	Aluminum	Mineral
CHP02828	磨盘草	台湾磨盘草	mo pan cao	Abutilon indicum	Viridiplantae
CHP02904	木香	藏木香|云木香|广木香|木香油	mu xiang	Inula helenium	Viridiplantae
CHP02913	苜蓿	花苜蓿|扁蓿豆|苜蓿子|黄花苜蓿|野苜蓿子|野苜蓿	mu xu	Medicago sativa	Viridiplantae
CHP06264	穆库没药		mu ku mo yao	Commiphora wightii	Viridiplantae
CHP02930	南瓜子		nan gua zi	Cucurbita moschata	Viridiplantae
CHP06176	硇砂		nao sha	Sal Ammoniacum	Mineral
CHP02967	柠檬	柠檬汁|柠檬精	ning meng	Citrus x limon	Viridiplantae
CHP05962	牛黄	牛胆|天然牛黄	niu huang	Bos taurus	Metazoa
CHP03013	牛舌草	牛舌草花	niu she cao	Anchusa italica	Viridiplantae
CHP03050	欧当归		ou dang gui	Levisticum officinale	Viridiplantae
CHP06229	欧龙芽草	欧龙牙草|欧洲龙牙草	ou long ya cao	Agrimonia eupatoria	Viridiplantae
CHP03052	欧绵马		ou mian ma	Dryopteris filix-mas	Viridiplantae
CHP06209	欧芹菜籽		ou qin cai zi	Petroselinum crispum	Viridiplantae
CHP06231	欧矢车菊	矢车菊	ou shi che ju	Centaurea behen	Viridiplantae
CHP06271	欧亚薄荷		ou ya bo he	Mentha pulegium	Viridiplantae
CHP06256	欧烟堇	欧烟堇子	ou yan jin	Fumaria officinalis	Viridiplantae
CHP06177	硼砂	白硵砂|硼硝	peng sha	Borax	Mineral
CHP03098	枇杷	枇杷果	pi pa	Eriobotrya japonica	Viridiplantae
CHP03113	苹果	甜苹果|苹果汁|红苹果	ping guo	Malus pumila	Viridiplantae
CHP03124	破布木	青桐翠木|破布木果|破布木实	po bu mu	Cordia dichotoma	Viridiplantae
CHP03130	葡萄	马奶子葡萄|白葡萄|葡萄醋|无核葡萄|葡萄汁|无核葡萄干|绿葡萄干|葡萄粉|红葡萄|葡萄藤叶|野葡萄|琐琐葡萄|葡萄干	pu tao	Vitis vinifera	Viridiplantae
CHP03180	千金子	续随子	qian jin zi	Euphorbia lathyris	Viridiplantae
CHP03187	千日红		qian ri hong	Gomphrena globosa	Viridiplantae
CHP03192	牵牛	牵牛子|牵牛花	qian niu zi	Ipomoea purpurea	Viridiplantae
CHP06218	钱线蕨		qian xian jue	Nephrolepis exaltata	Viridiplantae
CHP03198	茜草	多花茜草|藏茜草	xi cao	Rubia cordifolia	Viridiplantae
CHP06268	蔷薇实		qiang wei shi	Rosa laxa	Viridiplantae
CHP03214	茄子	茄	qie zi	Solanum melongena	Viridiplantae
CHP03229	青蒿	蛔蒿花|青篙叶|青篙|黄花蒿|青蒿油	qing hao	Artemisia annua	Viridiplantae
CHP06237	青香茅		qing xiang mao	Cymbopogon caesius	Viridiplantae
CHP06185	轻粉		qing fen	Calomel	Mineral
CHP03283	秋水仙		qiu shui xian	Colchicum autumnale	Viridiplantae
CHP03299	驱虫斑鸠菊		qu chong ban jiu ju	Baccharoides anthelmintica	Viridiplantae
CHP05983	全蝎	全蝎炭|蝎	quan xie	Mesobuthus martensii	Metazoa
CHP03306	拳参		quan can	Polygonum cuspidatum	Viridiplantae
CHP05984	雀	麻雀肉	que	Passer montanus	Metazoa
CHP05986	雀脑	麻雀脑	que nao	Passer montanus	Metazoa
CHP03319	人参	鲜人参|生晒参|生晒参芦头|人参茎叶	ren shen	Panax ginseng	Viridiplantae
CHP06272	鞣树果	西西里漆树	rou shu guo	Rhus coriaria	Viridiplantae
CHP03342	肉豆蔻		rou dou kou	Myristica fragrans	Viridiplantae
CHP03343	肉豆蔻衣		rou dou kou yi	Myristica fragrans	Viridiplantae
CHP03344	肉桂	肉桂子|官桂	rou gui	Cinnamomum aromaticum	Viridiplantae
CHP03345	肉桂叶	桂叶	rou gui ye	Cinnamomum aromaticum	Viridiplantae
CHP03352	乳香	制乳香|醋乳香|白洋乳香|炙乳香	ru xiang	Boswellia sacra	Viridiplantae
CHP03364	瑞香根		rui xiang gen	Daphne odora	Viridiplantae
CHP06298	赛依台尔		sai yi tai er	Zataria multiflora	Viridiplantae
CHP03429	桑椹	桑葚|红桑椹|桑植|白果桑椹|桑椹酒|红桑葚|白桑椹|黑果桑椹|鲜桑椹|红桑果|黑桑椹	sang shen	Morus alba	Viridiplantae
CHP03444	沙棘	沙棘果膏|鲜沙棘|醋柳果	sha ji	Hippophae rhamnoides	Viridiplantae
CHP03453	沙枣		sha zao	Elaeagnus angustifolia	Viridiplantae
CHP06359	砂鱼蜥	沙龙子	sha yu xi	Scincus scincus	Metazoa
CHP03475	山薄荷		shan bo he	Mentha longifolia	Viridiplantae
CHP03477	山扁豆		shan bian dou	Lablab purpureus	Viridiplantae
CHP03601	山楂	北山楂|焦山楂|广山楂|野山楂|南山楂	shan zha	Crataegus pinnatifida	Viridiplantae
CHP05996	珊瑚		shan hu	Corallium rubrum	Metazoa
CHP03635	芍药	白芍|赤勺|白勺|白芍药|酒白芍|赤芍药|赤芍	shao yao	Paeonia lactiflora	Viridiplantae
CHP06000	蛇蜕		she tui	Zootoca vivipara	Metazoa
CHP06001	麝香	毛麝香|人工麝香	she xiang	Moschus berezovskii	Metazoa
CHP03664	麝香草	麝香草油|麝香草脑	she xiang cao	Thymus vulgaris	Viridiplantae
CHP03672	神香草		shen xiang cao	Dracocephalum officinale	Viridiplantae
CHP03686	声色草		sheng se cao	Polycarpaea corymbosa	Viridiplantae
CHP03704	石菖蒲	石菖蒲挥发油|鲜石菖蒲|石莒蒲|石菖蒲油|石昌蒲	shi chang pu	Acorus gramineus	Viridiplantae
CHP03709	石刁柏	石刁柏子	shi diao bai	Asparagus officinalis	Viridiplantae
CHP06191	石膏	煅石膏|生石膏|石灰|生石灰|生石|甘石膏	shi gao	Gypsum	Mineral
CHP06004	石决明	贝壳	shi jue ming	Haliotis discus	Metazoa
CHP03730	石榴根皮		shi liu gen pi	Punica granatum	Viridiplantae
CHP03731	石榴花	白石榴花	shi liu hua	Punica granatum	Viridiplantae
CHP03732	石榴皮		shi liu pi	Punica granatum	Viridiplantae
CHP04126	石榴子		shi liu zi	Punica granatum	Viridiplantae
CHP06006	石首鱼	鱼脑石	shi shou yu	Larimichthys crocea	Metazoa
CHP06193	食盐		shi yan	Sal	Mineral
CHP03766	莳萝	莳萝苗|洋茴香	shi luo	Anethum graveolens	Viridiplantae
CHP03767	莳萝子		shi luo zi	Anethum graveolens	Viridiplantae
CHP03796	蜀葵根	白蜀葵根	shu kui gen	Alcea rosea	Viridiplantae
CHP03797	蜀葵花	白蜀葵花|白蜀葵|野蜀葵	shu kui hua	Alcea rosea	Viridiplantae
CHP03800	蜀葵子	白蜀葵子|白蜀葵花子	shu kui zi	Alcea rosea	Viridiplantae
CHP03871	水龙骨		shui long gu	Polypodium vulgare	Viridiplantae
CHP03910	水仙	水仙子	shui xian	Narcissus tazetta	Viridiplantae
CHP06384	水银		shui yin	Hydrargyrum	Mineral
CHP06015	水蛭	制水蛭	shui zhi	Whitmania pigra	Metazoa
CHP06273	睡莲花		shui lian hua	Nymphaea candida	Viridiplantae
CHP06318	司卡摩尼亚脂	药旋花	si ka mo ni ya zhi	Convolvulus scammonia	Viridiplantae
CHP04092	丝瓜	天罗水|丝瓜络	si gua	Luffa acutangula	Viridiplantae
CHP06128	松萝		song luo	Usnea diffracta	Fungi
CHP03969	松香		song xiang	Pinus massoniana	Viridiplantae
CHP03973	松油	松树脂|松脂	song you	Pinus massoniana	Viridiplantae
CHP03975	松子仁	油松子|海松子	song zi ren	Pinus koraiensis	Viridiplantae
CHP03977	苏合香	苏合香油	su he xiang	Liquidambar orientalis	Viridiplantae
CHP06016	酥油		su you	Bos taurus	Metazoa
CHP03996	酸橙	酸橙皮	suan cheng	Citrus sinensis	Viridiplantae
CHP03997	酸浆	挂金灯|锦灯笼	suan jiang	Alkekengi officinarum	Viridiplantae
CHP03998	酸浆根		suan jiang gen	Alkekengi officinarum	Viridiplantae
CHP03999	酸角	罗望实|罗望子仁|罗望子	suan jiao	Tamarindus indica	Viridiplantae
CHP04000	酸模	酸模子	suan mo	Rumex acetosa	Viridiplantae
CHP04002	酸石榴	石榴|酸石榴皮|酸石榴根|石榴汁|酸石榴汁|甜石榴	suan shi liu	Punica granatum	Viridiplantae
CHP04021	锁阳		suo yang	Cynomorium songaricum	Viridiplantae
CHP04036	太白韭	大葱|野葱	tai bai jiu	Allium wallichii	Viridiplantae
CHP04047	檀香	白檀香	tan xiang	Santalum album	Viridiplantae
CHP04065	桃仁	巴丹仁|扁桃|生桃仁|巴旦杏仁油|巴旦杏壳|苦巴旦杏仁|甜巴旦杏仁油|甜桃仁|巴旦仁|苦巴旦杏仁油|桃干|甜巴旦杏仁|桃仁霜|苦巴旦仁|巴旦杏仁	tao ren	Prunus dulcis	Viridiplantae
CHP04067	桃叶		tao ye	Prunus persica	Viridiplantae
CHP04070	桃子	桃|桃花	tao zi	Prunus persica	Viridiplantae
CHP06371	锑		ti	Stibium	Mineral
CHP06320	天山堇菜	天山堇菜花|天山堇菜油	tian shan jin cai	Viola kunawurensis	Viridiplantae
CHP04106	天竺黄	天竹黄	tian zhu huang	Bambusa textilis	Viridiplantae
CHP04118	甜瓜	越瓜|生瓜	tian gua	Cucumis melo	Viridiplantae
CHP04119	甜瓜蒂	瓜蒂	tian gua di	Cucumis melo	Viridiplantae
CHP04124	甜瓜子	甜葫芦子	tian gua zi	Cucumis melo	Viridiplantae
CHP06388	铁	铁汁|铁垢|铁落|铁粉|铁灰|铁屑	tie	Ferrum	Mineral
CHP04150	铁力木		tie li mu	Mesua ferrea	Viridiplantae
CHP04173	葶苈子	拿茜子|辣辣菜|北葶苈子|独行菜子	ting li zi	Leuzea repens	Viridiplantae
CHP06391	铜绿		tong lv	Cupri Hydroxycarbonas	Mineral
CHP04258	菟丝	菟丝草	tu si	Cuscuta japonica	Viridiplantae
CHP04259	菟丝子	盐菟丝子	tu si zi	Cuscuta chinensis	Viridiplantae
CHP04322	榅桲子	甜榅桲|榅桲糖浆|榅桲汁|温桲|榅桲	wen po zi	Cydonia oblonga	Viridiplantae
CHP04333	莴苣子	野莴苣子|白苣|白苣胜|白巨胜	wo ju zi	Lactuca sativa	Viridiplantae
CHP04368	无花果		wu hua guo	Ficus carica	Viridiplantae
CHP04382	无名子	阿月浑子皮|伯孜旦|阿月浑子|开心果|阿月浑子花	wu ming zi	Pistacia vera	Viridiplantae
CHP04449	西瓜	西瓜汁	xi gua	Citrullus lanatus	Viridiplantae
CHP04451	西瓜皮		xi gua pi	Citrullus lanatus	Viridiplantae
