CPM_ID	CHP_ID	Dosage_ratio
UHF0119	CHP03283	0.06
UHF0120	CHP04368	0.274
UHF0120	CHP03130	0.274
UHF0120	CHP01758	0.0822
UHF0120	CHP02024	0.0822
UHF0120	CHP06220	0.0822
UHF0120	CHP03283	0.0822
UHF0120	CHP02405	0.0822
UHF0120	CHP04571	0.0411
UHF0121	CHP00608	0.4839
UHF0121	CHP02405	0.3226
UHF0121	CHP05360	0.1935
UHF0122	CHP06212	0.5556
UHF0122	CHP06320	0.0556
UHF0122	CHP05557	0.0556
UHF0122	CHP04368	0.0556
UHF0122	CHP01968	0.0556
UHF0122	CHP03013	0.0556
UHF0122	CHP03130	0.0556
UHF0122	CHP02405	0.0556
UHF0122	CHP01118	0.0556
UHF0106	CHP04126	0.6522
UHF0106	CHP06282	0.1304
UHF0106	CHP00216	0.1304
UHF0106	CHP00360	0.0652
UHF0106	CHP06001	0.0217
UHF0118	CHP03120	0.2711
UHF0118	CHP06224	0.2711
UHF0118	CHP03124	0.1506
UHF0118	CHP00608	0.1506
UHF0118	CHP03800	0.0602
UHF0118	CHP06320	0.0602
UHF0118	CHP02839	0.0361
UHF0414	CHP06251	0.4
UHF0414	CHP01367	0.4
UHF0414	CHP06167	0.2
UHF0415	CHP05491	0.5
UHF0415	CHP00543	0.5
UHF0413	CHP05491	0.5
UHF0413	CHP01898	0.5
UHF0411	CHP01138	0.6667
UHF0411	CHP03973	0.1667
UHF0411	CHP05790	0.1667
UHF0412	CHP05104	0.5882
UHF0412	CHP06255	0.1029
UHF0412	CHP01516	0.1029
UHF0412	CHP04888	0.1029
UHF0412	CHP04863	0.1029
UHF0417	CHP03672	0.3333
UHF0417	CHP04629	0.3333
UHF0417	CHP02748	0.3333
UHF0421	CHP03130	1.0
UHF0419	CHP04888	0.125
UHF0419	CHP01138	0.125
UHF0419	CHP05790	0.125
UHF0419	CHP05878	0.125
UHF0419	CHP06384	0.125
UHF0419	CHP06167	0.125
UHF0419	CHP05996	0.0625
UHF0419	CHP06144	0.0542
UHF0419	CHP04106	0.0542
UHF0419	CHP01864	0.0542
UHF0419	CHP06264	0.025
UHF0416	CHP05807	0.75
UHF0416	CHP06176	0.25
UHF0410	CHP01399	0.2362
UHF0410	CHP04888	0.2362
UHF0410	CHP01898	0.2362
UHF0410	CHP00779	0.2362
UHF0410	CHP05888	0.0551
UHF0418	CHP06144	0.3333
UHF0418	CHP03198	0.3333
UHF0418	CHP06175	0.3333
UHF0420	CHP03130	0.3333
UHF0420	CHP06391	0.3333
UHF0420	CHP06128	0.3333
UHF0195	CHP03283	0.3529
UHF0195	CHP00997	0.1765
UHF0195	CHP04482	0.1176
UHF0195	CHP00238	0.1176
UHF0195	CHP01146	0.1176
UHF0195	CHP05607	0.1176
UHF0196	CHP04453	0.5
UHF0196	CHP03997	0.5
UHF0152	CHP02750	0.5714
UHF0152	CHP06276	0.0286
UHF0152	CHP06282	0.0286
UHF0152	CHP06363	0.0286
UHF0152	CHP06210	0.0286
UHF0152	CHP04106	0.0286
UHF0152	CHP04482	0.0286
UHF0152	CHP01127	0.0286
UHF0152	CHP02023	0.0286
UHF0152	CHP00306	0.0286
UHF0152	CHP00844	0.0286
UHF0152	CHP03198	0.0286
UHF0152	CHP00360	0.0286
UHF0152	CHP03344	0.0286
UHF0152	CHP04571	0.0286
UHF0152	CHP00779	0.0286
UHF0153	CHP02750	0.5556
UHF0153	CHP06276	0.0278
UHF0153	CHP06240	0.0278
UHF0153	CHP06282	0.0278
UHF0153	CHP06363	0.0278
UHF0153	CHP06210	0.0278
UHF0153	CHP04764	0.0278
UHF0153	CHP04259	0.0278
UHF0153	CHP04106	0.0278
UHF0153	CHP04482	0.0278
UHF0153	CHP02023	0.0278
UHF0153	CHP00306	0.0278
UHF0153	CHP00844	0.0278
UHF0153	CHP03198	0.0278
UHF0153	CHP03344	0.0278
UHF0153	CHP04571	0.0278
UHF0153	CHP00779	0.0278
UHF0154	CHP02750	0.5312
UHF0154	CHP06276	0.0312
UHF0154	CHP06229	0.0312
UHF0154	CHP06328	0.0312
UHF0154	CHP06282	0.0312
UHF0154	CHP06210	0.0312
UHF0154	CHP04764	0.0312
UHF0154	CHP04888	0.0312
UHF0154	CHP04259	0.0312
UHF0154	CHP04106	0.0312
UHF0154	CHP04482	0.0312
UHF0154	CHP02023	0.0312
UHF0154	CHP03198	0.0312
UHF0154	CHP03344	0.0312
UHF0154	CHP04571	0.0312
UHF0154	CHP01871	0.0312
UHF0197	CHP06212	0.7547
UHF0197	CHP03343	0.0377
UHF0197	CHP06240	0.0377
UHF0197	CHP05304	0.0377
UHF0197	CHP03352	0.0377
UHF0197	CHP02748	0.0377
UHF0197	CHP03975	0.0226
UHF0197	CHP01146	0.0226
UHF0197	CHP06231	0.0057
UHF0197	CHP00779	0.0057
UHF0163	CHP02557	0.3947
UHF0163	CHP04065	0.1974
UHF0163	CHP05195	0.0789
UHF0163	CHP03342	0.0789
UHF0163	CHP01326	0.0658
UHF0163	CHP06282	0.0395
UHF0163	CHP04764	0.0395
UHF0163	CHP00844	0.0395
UHF0163	CHP00360	0.0395
UHF0163	CHP03192	0.0197
UHF0163	CHP06001	0.0066
UHF0182	CHP05255	0.7463
UHF0182	CHP02750	0.0498
UHF0182	CHP06282	0.0249
UHF0182	CHP04482	0.0249
UHF0182	CHP01127	0.0249
UHF0182	CHP00779	0.0249
UHF0182	CHP03343	0.0149
UHF0182	CHP01416	0.0149
UHF0182	CHP00306	0.0149
UHF0182	CHP00844	0.0149
UHF0182	CHP03342	0.0149
UHF0182	CHP00316	0.0149
UHF0182	CHP01326	0.0149
UHF0166	CHP06210	0.1634
UHF0166	CHP01757	0.1634
UHF0166	CHP02219	0.1634
UHF0166	CHP03997	0.1634
UHF0166	CHP04065	0.0654
UHF0166	CHP06279	0.0654
UHF0166	CHP03975	0.0654
UHF0166	CHP04000	0.0654
UHF0166	CHP05469	0.0654
UHF0166	CHP00306	0.0196
UHF0167	CHP02239	0.3333
UHF0167	CHP06246	0.3333
UHF0167	CHP00191	0.3333
UHF0168	CHP03299	0.5882
UHF0168	CHP06246	0.1765
UHF0168	CHP01368	0.1176
UHF0168	CHP01146	0.1176
UHF0165	CHP00004	0.1429
UHF0165	CHP06282	0.1429
UHF0165	CHP04764	0.1429
UHF0165	CHP00099	0.1429
UHF0165	CHP00240	0.1429
UHF0165	CHP00274	0.1429
UHF0165	CHP00779	0.1429
UHF0170	CHP05607	0.1818
UHF0170	CHP04382	0.0909
UHF0170	CHP00004	0.0909
UHF0170	CHP06282	0.0909
UHF0170	CHP01528	0.0909
UHF0170	CHP01757	0.0909
UHF0170	CHP02750	0.0909
UHF0170	CHP00059	0.0909
UHF0170	CHP05360	0.0909
UHF0170	CHP00779	0.0909
UHF0169	CHP06227	0.5714
UHF0169	CHP02685	0.0714
UHF0169	CHP06256	0.0714
UHF0169	CHP00308	0.0714
UHF0169	CHP05255	0.0714
UHF0169	CHP04902	0.0714
UHF0169	CHP01119	0.0714
UHF0156	CHP03352	0.3636
UHF0156	CHP06236	0.3636
UHF0156	CHP03731	0.1818
UHF0156	CHP05607	0.0909
UHF0157	CHP05807	0.315
UHF0157	CHP04065	0.1575
UHF0157	CHP02751	0.1575
UHF0157	CHP03120	0.1575
UHF0157	CHP01368	0.0472
UHF0157	CHP06320	0.0472
UHF0157	CHP01118	0.0394
UHF0157	CHP06193	0.0315
UHF0157	CHP06282	0.0236
UHF0157	CHP01757	0.0236
UHF0175	CHP01399	0.125
UHF0175	CHP03731	0.125
UHF0175	CHP04902	0.125
UHF0175	CHP03352	0.125
UHF0175	CHP06236	0.125
UHF0175	CHP02685	0.0833
UHF0175	CHP05255	0.0833
UHF0175	CHP00308	0.0833
UHF0175	CHP00004	0.0417
UHF0175	CHP04473	0.0417
UHF0175	CHP05607	0.0417
UHF0193	CHP05807	0.7407
UHF0193	CHP01368	0.0741
UHF0193	CHP06212	0.0741
UHF0193	CHP06282	0.0111
UHF0193	CHP04150	0.0111
UHF0193	CHP01515	0.0111
UHF0193	CHP00844	0.0111
UHF0193	CHP00316	0.0111
UHF0193	CHP00238	0.0111
UHF0193	CHP01146	0.0111
UHF0193	CHP01326	0.0111
UHF0193	CHP01323	0.0111
UHF0193	CHP00779	0.0111
UHF0194	CHP03704	0.4667
UHF0194	CHP01399	0.1333
UHF0194	CHP01515	0.1333
UHF0194	CHP01146	0.1333
UHF0194	CHP05607	0.1333
UHF0174	CHP04368	1.0
UHF0171	CHP06212	0.6935
UHF0171	CHP03013	0.0499
UHF0171	CHP02566	0.0499
UHF0171	CHP04047	0.0499
UHF0171	CHP03342	0.0416
UHF0171	CHP05914	0.0166
UHF0171	CHP06396	0.0166
UHF0171	CHP03319	0.0166
UHF0171	CHP06202	0.0166
UHF0171	CHP01110	0.0166
UHF0171	CHP00306	0.0139
UHF0171	CHP06001	0.0083
UHF0171	CHP04867	0.0055
UHF0171	CHP06161	0.0042
UHF0172	CHP02748	0.25
UHF0172	CHP04571	0.1667
UHF0172	CHP03969	0.1667
UHF0172	CHP00640	0.1667
UHF0172	CHP04482	0.0625
UHF0172	CHP01127	0.0625
UHF0172	CHP00306	0.0625
UHF0172	CHP03344	0.0625
UHF0173	CHP06212	0.8333
UHF0173	CHP04591	0.0467
UHF0173	CHP03013	0.0333
UHF0173	CHP04106	0.0333
UHF0173	CHP00356	0.0333
UHF0173	CHP06396	0.02
