CPM_ID	Chinese_herbal_formulas	Pinyin_term	Routes_of_administration
UHF0059	艾热克 三代力 蒸露	ai re ke   san dai li   zheng lu	Oral
UHF0060	艾日热 膳食 糖糊	ai ri re   shan shi   tang hu	Oral
UHF0061	巴那都克 白祖日 丹	ba na dou ke   bai zu ri   dan	Oral
UHF0062	巴那都克 木海力里 丹	ba na dou ke   mu hai li li   dan	Oral
UHF0063	古丽坎尼 古丽苏如合 花膏	gu li kan ni   gu li su ru he   hua gao	Oral
UHF0064	合米日 高孜班 糖膏	he mi ri   gao zi ban   tang gao	Oral
UHF0065	合米日 海西哈西 糖膏	he mi ri   hai xi ha xi   tang gao	Oral
UHF0066	合米日 买日瓦日德 糖膏	he mi ri   mai ri wa ri de   tang gao	Oral
UHF0067	库日斯 安吉巴尔 片	ku ri si   an ji ba er   pian	Oral
UHF0068	库日斯 白鲁德代米 片	ku ri si   bai lu de dai mi   pian	Oral
UHF0069	库日斯 白祖日 片	ku ri si   bai zu ri   pian	Oral
UHF0070	库日斯 比乃非谢 片Ⅰ	ku ri si   bi nai fei xie   pian Ⅰ	Oral
UHF0071	库日斯 比乃非谢 片Ⅱ	ku ri si   bi nai fei xie   pian Ⅱ	Oral
UHF0072	库日斯 格力买合土米 片	ku ri si   ge li mai he tu mi   pian	Oral
UHF0073	库日斯 古丽那尔 片Ⅰ	ku ri si   gu li na er   pian Ⅰ	Oral
UHF0074	库日斯 古丽那尔 片Ⅱ	ku ri si   gu li na er   pian Ⅱ	Oral
UHF0075	库日斯 海西哈西 片	ku ri si   hai xi ha xi   pian	Oral
UHF0076	库日斯 卡克乃吉 片Ⅰ	ku ri si   ka ke nai ji   pian Ⅰ	Oral
UHF0077	库日斯 卡克乃吉 片Ⅱ	ku ri si   ka ke nai ji   pian Ⅱ	Oral
UHF0078	库日斯 开合日巴 片	ku ri si   kai he ri ba   pian	Oral
UHF0079	库日斯 买斯提克 片	ku ri si   mai si ti ke   pian	Oral
UHF0080	库日斯 木地日 白吾力 片	ku ri si   mu di ri   bai wu li   pian	Oral
UHF0081	库日斯 木日买克 片	ku ri si   mu ri mai ke   pian	Oral
UHF0082	库日斯 木赛来斯 片Ⅰ	ku ri si   mu sai lai si   pian Ⅰ	Oral
UHF0083	库日斯 木赛来斯 片Ⅱ	ku ri si   mu sai lai si   pian Ⅱ	Oral
UHF0084	库日斯 木斯力 片	ku ri si   mu si li   pian	Oral
UHF0085	库日斯 乃孜乐 班德 片	ku ri si   nai zi le   ban de   pian	Oral
UHF0086	库日斯 乃孜乐 片Ⅰ	ku ri si   nai zi le   pian Ⅰ	Oral
UHF0087	库日斯 乃孜乐 片Ⅱ	ku ri si   nai zi le   pian Ⅱ	Oral
UHF0088	库日斯 三代力 片	ku ri si   san dai li   pian	Oral
UHF0089	库日斯 塔巴西尔 卡福日 片	ku ri si   ta ba xi er   ka fu ri   pian	Oral
UHF0090	库日斯 塔巴西尔 片Ⅰ	ku ri si   ta ba xi er   pian Ⅰ	Oral
UHF0091	库日斯 塔巴西尔 片Ⅱ	ku ri si   ta ba xi er   pian Ⅱ	Oral
UHF0092	库日斯 衣拉吾斯 片	ku ri si   yi la wu si   pian	Oral
UHF0093	库日斯 再米切 片Ⅰ	ku ri si   zai mi qie   pian Ⅰ	Oral
UHF0094	库日斯 再米切 片Ⅱ	ku ri si   zai mi qie   pian Ⅱ	Oral
UHF0095	库日斯 孜日西克片	ku ri si   zi ri xi ke pian	Oral
UHF0096	库日斯 孜亚比提 片Ⅰ	ku ri si   zi ya bi ti   pian Ⅰ	Oral
UHF0097	库日斯 孜亚比提 片Ⅱ	ku ri si   zi ya bi ti   pian Ⅱ	Oral
UHF0098	库日斯 孜亚比提 片Ⅲ	ku ri si   zi ya bi ti   pian Ⅲ	Oral
UHF0099	罗欧克 巴达木 舔剂	luo ou ke   ba da mu   tian ji	Oral
UHF0100	马欧力 来合米 肉汤蒸液	ma ou li   lai he mi   rou tang zheng ye	Oral
UHF0101	马欧力 欧苏力 根汤Ⅰ	ma ou li   ou su li   gen tang Ⅰ	Oral
UHF0102	马欧力 欧苏力 根汤Ⅱ	ma ou li   ou su li   gen tang Ⅱ	Oral
UHF0103	马欧力 欧苏力 根汤Ⅲ	ma ou li   ou su li   gen tang Ⅲ	Oral
UHF0104	马欧力 欧苏力 根汤Ⅳ	ma ou li   ou su li   gen tang Ⅳ	Oral
UHF0105	马欧力 欧苏力 尼克热斯 根汤	ma ou li   ou su li   ni ke re si   gen tang	Oral
UHF0106	买提布合 阿那尔达乃 汤	mai ti bu he   a na er da nai   tang	Oral
UHF0107	买提布合 艾非散厅 汤	mai ti bu he   ai fei san ting   tang	Oral
UHF0108	买提布合 艾非提蒙 汤Ⅰ	mai ti bu he   ai fei ti meng   tang Ⅰ	Oral
UHF0109	买提布合 艾非提蒙 汤Ⅱ	mai ti bu he   ai fei ti meng   tang Ⅱ	Oral
UHF0110	买提布合 艾力勒 汤	mai ti bu he   ai li lei   tang	Oral
UHF0111	买提布合 艾力勒 汤Ⅰ	mai ti bu he   ai li lei   tang Ⅰ	Oral
UHF0112	买提布合 艾力勒 汤Ⅱ	mai ti bu he   ai li lei   tang Ⅱ	Oral
UHF0113	买提布合 白日格 夏皮塔罗 汤	mai ti bu he   bai ri ge   xia pi ta luo   tang	Oral
UHF0114	买提布合 白祖日 汤	mai ti bu he   bai zu ri   tang	Oral
