CPM_ID	TCMT_ID
UHF0235	TCMT02061
UHF0235	TCMT02180
UHF0236	TCMT02027
UHF0236	TCMT02180
UHF0237	TCMT02199
UHF0237	TCMT01817
UHF0238	TCMT02036
UHF0238	TCMT02061
UHF0240	TCMT01940
UHF0241	TCMT01938
UHF0241	TCMT00509
UHF0242	TCMT01938
UHF0242	TCMT01939
UHF0243	TCMT01939
UHF0244	TCMT02120
UHF0245	TCMT02036
UHF0245	TCMT02180
UHF0245	TCMT02183
UHF0246	TCMT02120
UHF0246	TCMT01938
UHF0246	TCMT01939
UHF0247	TCMT00392
UHF0247	TCMT00441
UHF0248	TCMT01940
UHF0248	TCMT01939
UHF0249	TCMT01829
UHF0252	TCMT01918
UHF0252	TCMT02120
UHF0253	TCMT01939
UHF0253	TCMT01938
UHF0254	TCMT01939
UHF0257	TCMT00501
UHF0257	TCMT00503
UHF0259	TCMT01939
UHF0261	TCMT02120
UHF0262	TCMT02120
UHF0263	TCMT01938
UHF0263	TCMT01939
UHF0264	TCMT01939
UHF0265	TCMT01939
UHF0267	TCMT01939
UHF0268	TCMT01941
UHF0269	TCMT01940
UHF0270	TCMT00383
UHF0270	TCMT01941
UHF0270	TCMT01940
UHF0271	TCMT01939
UHF0271	TCMT01938
UHF0273	TCMT01941
UHF0274	TCMT01837
UHF0275	TCMT01941
UHF0276	TCMT01938
UHF0280	TCMT00383
UHF0280	TCMT01941
UHF0280	TCMT01940
UHF0281	TCMT01938
UHF0282	TCMT01938
UHF0284	TCMT01938
UHF0284	TCMT01939
UHF0286	TCMT01939
UHF0287	TCMT01940
UHF0287	TCMT02180
UHF0288	TCMT02180
UHF0289	TCMT00509
UHF0290	TCMT01938
UHF0291	TCMT01938
UHF0291	TCMT01939
UHF0292	TCMT01938
UHF0292	TCMT01939
UHF0294	TCMT01939
UHF0295	TCMT01939
UHF0295	TCMT00383
UHF0295	TCMT02180
UHF0295	TCMT02027
UHF0296	TCMT01939
UHF0297	TCMT02180
UHF0299	TCMT01938
UHF0299	TCMT01939
UHF0300	TCMT02120
UHF0301	TCMT01938
UHF0301	TCMT00509
UHF0302	TCMT01940
UHF0303	TCMT02180
UHF0303	TCMT02027
UHF0303	TCMT00383
UHF0303	TCMT01940
UHF0303	TCMT01941
UHF0303	TCMT01817
UHF0305	TCMT00383
UHF0305	TCMT01941
